_id,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
109,2003-11-08T00:00:00,Brisbane,Ship,Commercial,Port,"Spitfire Channel, Moreton Bay",Hydraulic,Unknown
110,2003-11-14T00:00:00,Cairns,Ship,Recreational,Coastal,Port Douglas,Diesel,Unknown
111,2003-11-16T00:00:00,Cairns,Ship,Trading,Coastal,"Chillie Beach, Cape Weymouth, FNQ",Bilge,Unknown
112,2003-11-18T00:00:00,Brisbane,Ship,Oil Tanker,Port,"STS1 Anchorage, Moreton Bay",Bilge,Unknown
113,2003-11-20T00:00:00,Townsville,Land,N/A,Port,"Shell Terminal, Berth 1, Townsville",Fuel Oil,Unknown
114,2003-11-23T00:00:00,Brisbane,Unknown,Unknown,Coastal,"Mooloola River, Sunshine Coast",Sheen,Unknown
115,2003-12-04T00:00:00,Mackay,Ship,Recreational,Port,"Mackay Marina, Mackay",Diesel,Unknown
116,2003-12-05T00:00:00,Brisbane,Land,N/A,Coastal,"East Brisbane Reach, Brisbane River",Sheen,Unknown
117,2003-12-07T00:00:00,Brisbane,Ship,Trading,Port,Fishermans Islands Brisbane River,Hydraulic,Unknown
118,2003-12-07T00:00:00,Gladstone,Ship,Fishing,Offshore,"Hoskyn Island, Capricorn Bunker Group",Diesel,Unknown
119,2003-12-09T00:00:00,Cairns,Unknown,Unknown,Port,"Smiths Creek, Cairns",Sheen,Unknown
120,2003-12-11T00:00:00,Cairns,Unknown,Unknown,Port,"Firewood Creek, Cairns",Sheen,Unknown
121,2003-12-12T00:00:00,Cairns,Unknown,Unknown,Port,Thursday Island,Sheen,Unknown
122,2003-12-17T00:00:00,Brisbane,Ship,Oil Tanker,Port,"Brisbane Roads Anchorage, Moreton Bay",Hydraulic,Unknown
123,2003-12-17T00:00:00,Cairns,Ship,Fishing,Port,Evans Landing Weipa,Diesel,Unknown
124,2003-12-17T00:00:00,Cairns,Land,N/A,Port,Thursday Island,Sheen,Unknown
125,2003-12-18T00:00:00,Cairns,Land,N/A,Port,Horn Island Cargo Facility,Diesel,Unknown
126,2003-12-22T00:00:00,Mackay,Ship,Commercial,Coastal,"Mackay Marina, Mackay",Bilge,Unknown
127,2003-12-26T00:00:00,Brisbane,Ship,Commercial,Port,"Caincross Fitting out Wharf, Brisbane River",Hydraulic,Unknown
128,2003-12-26T00:00:00,Brisbane,Ship,Recreational,Coastal,"Caloundra Head, Sunshine Coast",Diesel,Unknown
129,2003-12-27T00:00:00,Cairns,Ship,Recreational,Coastal,"Half Moon Bay Marina, Cairns",Diesel,Unknown
130,2004-01-09T00:00:00,Cairns,Ship,Fishing,Port,"Firewood Creek, Cairns",Sheen,Unknown
131,2004-01-11T00:00:00,Brisbane,Unknown,Unknown,Coastal,"Newport Waterways, Scarborough",Sheen,Unknown
132,2004-01-12T00:00:00,Mackay,Ship,Commercial,Coastal,"Able Point Marina, Whitsunday",Bilge,Unknown
133,2004-01-12T00:00:00,Townsville,Ship,Trading,Coastal,"Queens Beach, Bowen",Bilge,Unknown
134,2004-01-13T00:00:00,Mackay,Ship,Trading,Coastal,"Hook Island, Whitsundays",Bilge,Unknown
135,2004-01-15T00:00:00,Mackay,Ship,Commercial,Coastal,"Able Point Marina, Whitsunday",Bilge,Unknown
136,2004-01-16T00:00:00,Brisbane,Unknown,Unknown,Port,"Bulimba Reach, Brisbane River",Sheen,Unknown
137,2004-01-21T00:00:00,Cairns,Ship,Trading,Port,"Tropical Reef Slipway, Trinity Inlet, Cairns",Diesel,Unknown
138,2004-02-04T00:00:00,Brisbane,Unknown,Unknown,Coastal,"Minyama Canals, Sunshine Coast",Diesel,Unknown
139,2004-02-08T00:00:00,Brisbane,Ship,Recreational,Port,"Newport Waterways, Scarborough",Bilge,Unknown
140,2004-02-12T00:00:00,Cairns,Ship,Trading,Coastal,Western entrance to Torres Strait,Bilge,Unknown
141,2004-02-13T00:00:00,Mackay,Unknown,Unknown,Port,"Mackay Marina, Mackay",Bilge,Unknown
142,2004-02-14T00:00:00,Brisbane,Ship,Commercial,Port,"Fishermans Islands, No 3, Moreton Bay",Diesel,Unknown
143,2004-02-25T00:00:00,Brisbane,Ship,Fishing,Port,"Bar Cutting, Moreton Bay",Sheen,Unknown
144,2004-02-27T00:00:00,Cairns,Unknown,Unknown,Port,"Wharf 6, Trinity Inlet, Cairns",Sheen,Unknown
145,2004-04-02T00:00:00,Brisbane,Aircraft,Helicopter,Port,"Kedron Brook Floodway, Brisbane",Avgas,Unknown
146,2004-04-03T00:00:00,Brisbane,Ship,Fishing,Coastal,"Newport Waterways, Scarborough",Diesel,Unknown
147,2004-04-05T00:00:00,Brisbane,Ship,Trading,Port,"Caltex, Fishermans Islands Berth",Sheen,Unknown
148,2004-04-11T00:00:00,Cairns,Ship,Recreational,Port,Thursday Island,Diesel,Unknown
149,2004-04-12T00:00:00,Brisbane,Ship,Recreational,Coastal,"Newport Waterways, Scarborough",Paint Dust,Unknown
150,2004-04-15T00:00:00,Brisbane,Unknown,Unknown,Coastal,"Barralong Canal, Buddina",Chemical,Unknown
151,2004-04-18T00:00:00,Cairns,Ship,Unknown,Port,"Main Wharf, Thursday Island",Sheen,Unknown
152,2004-05-05T00:00:00,Cairns,Land,Defence,Port,"Trinity Inlet, Cairns",Diesel,Unknown
153,2004-05-16T00:00:00,Mackay,Ship,Unknown,Coastal,"Blue Pearl Bay, Hayman Island, Whitsundays",Diesel,Unknown
154,2004-05-19T00:00:00,Brisbane,Ship,Unknown,Port,"Cabbage Tree Creek, Brisbane",Sheen,Unknown
155,2004-05-19T00:00:00,Cairns,Ship,Fishing,Port,Thursday Island,Diesel,Unknown
156,2004-05-21T00:00:00,Brisbane,Ship,Recreational,Port,"Manly Marine, Brisbane",Diesel,Unknown
157,2004-05-22T00:00:00,Brisbane,Ship,Unknown,Port,"Lytton Reach, Brisbane River",Sheen,Unknown
158,2004-05-22T00:00:00,Cairns,Land,Unknown,Port,"Trinity Inlet, Cairns",Sheen,Unknown
159,2004-05-24T00:00:00,Brisbane,Ship,Fishing,Port,Gladstone Marina,Diesel,Unknown
160,2004-05-24T00:00:00,Gladstone,Ship,Fishing,Port,Gladstone Marina,Bilge,Unknown
161,2004-05-25T00:00:00,Brisbane,Ship,Unknown,Coastal,"Shaftston Reach, Brisbane River",Bilge,Unknown
162,2004-05-27T00:00:00,Cairns,Ship,Commercial,Port,Thursday Island,Bilge,Unknown
163,2004-06-04T00:00:00,Cairns,Unknown,Unknown,Port,"Trinity Inlet, Cairns",Diesel,Unknown
164,2004-06-07T00:00:00,Cairns,Unknown,Unknown,Port,"Trinity Inlet, Cairns",Diesel,Unknown
165,2004-06-10T00:00:00,Brisbane,Unknown,Unknown,Port,"Cabbage Tree Creek, Brisbane",Sheen,Unknown
166,2004-06-10T00:00:00,Cairns,Ship,Unknown,Port,Thursday Island,Bilge,Unknown
167,2004-06-14T00:00:00,Brisbane,Land,N/A,Port,"Caltex, Fishermans Islands Berth",Fuel Oil,Unknown
168,2004-07-02T00:00:00,Brisbane,Ship,Commercial,Coastal Waters,"Brisbane River, Eagle St Pier",Sheen,Unknown
169,2004-07-27T00:00:00,Cairns,Ship,Commercial,Port,"Between D Finger CFB 1 & TR slipway, Trinity Inlet/ Smiths Creek",Bilge,20
170,2004-07-29T00:00:00,Cairns,Unknown,Unknown,Port,From Sinrab Point to Wharf 7,Sheen,50
171,2004-07-29T00:00:00,Mackay,Unknown,Unknown,GBRMP,"Tongue Bay, Whitsunday Island",Unknown,Unknown
172,2004-07-30T00:00:00,Brisbane,Helicopter,n/a,Coastal Waters,"Helicopter Pontoon, South Bank Reach",Avgas,Unknown
173,2004-07-30T00:00:00,Cairns,Ship,Fishing,Port,D Finger Commercial Fishermans Base #1,Bilge,5
174,2004-08-08T00:00:00,Cairns,Ship,Trading,GBRMP,Fairway Channel near Pipin Reef,Sheen,Unknown
175,2004-08-09T00:00:00,Cairns,Ship,Unknown,Port,E. Finger Marlin Marina,Diesel,15
176,2004-08-16T00:00:00,Cairns,Land,Fishing,Port,"Main Wharf, Thursday Island",Sheen,6
177,2004-08-16T00:00:00,Mackay,Ship,Trading,GBRMP,5 nm NE High Peak Island,Bilge,Unknown
178,2004-08-17T00:00:00,Gladstone,Unknown,Unknown,GBRMP,Great Keppel Island,Bilge,Unknown
179,2004-08-24T00:00:00,Cairns,Ship,Commercial,Port,Thursday Island Harbour,Sheen,Unknown
180,2004-08-24T00:00:00,Cairns,Ship,Defence,Port,HMAS Cairns base form HMAS Ipswich,Diesel,2
181,2004-09-02T00:00:00,Brisbane,Land,n/a,Coastal Waters,Storm water drain between North Key and William Jolly Bridge,Other,Unknown
182,2004-09-07T00:00:00,Brisbane,Ship,Commercial,Port,"Raptis Wharf, Brisbane River",Other,40
183,2004-09-09T00:00:00,Cairns,Unknown,Unknown,Port,Between #10 South Dolphin and naval base,Sheen,5
184,2004-09-18T00:00:00,Brisbane,Ship,Recreational,Port,"112 Quay St, Bulimba, Brisbane River",Diesel,5
185,2004-09-28T00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,"Mooloolah River, Mooloolaba",Diesel,Unknown
186,2004-09-28T00:00:00,Cairns,Ship,Recreational,Port,Sail Fish Quay Marlin Marina,Bilge,60
187,2004-09-29T00:00:00,Townsville,Ship,Unknown,Coastal Waters,"Rowes Bay, Bowen",HFO,Unknown
188,2004-10-03T00:00:00,Mackay,Ship,Recreational,GBRMP,1 km East of Whitsunday Isl Craig,Sheen,Unknown
189,2004-10-04T00:00:00,Brisbane,Ship,Fishing,Port,Outside area of Scarborough Harbour,Bilge,Unknown
190,2004-10-06T00:00:00,Cairns,Ship,Commercial,Port,"Between D Finger CFB 1 and Tropical Reef slipway, Trinity Inlet/ Smiths Creek",Bilge,40
191,2004-10-07T00:00:00,Brisbane,Unknown,Unknown,Port,Whyte Island Tug Base,Unknown,Unknown
192,2004-10-10T00:00:00,Brisbane,Land,n/a,Coastal Waters,"Golden Beach, Pumicestone Passage",Diesel,Unknown
193,2004-10-12T00:00:00,Brisbane,Land,n/a,Port,Fisherman Is #3 berth,Diesel,100
194,2004-10-18T00:00:00,Brisbane,Land,n/a,Coastal Waters,"Diet Park ferry terminal, St Lucia",Other,Unknown
195,2004-10-18T00:00:00,Brisbane,Unknown,Unknown,Port,"Brisbane River, mouth of Dobey Creek",Diesel,Unknown
196,2004-10-19T00:00:00,At Sea,Ship,Trading,Territorial Sea,"31 miles to sea, ESE from Pt Lookout, bearing 115",Other,Unknown
197,2004-10-21T00:00:00,Mackay,Ship,Commercial,GBRMP,"Centenary Cay, Swains Reef",Diesel,Unknown
198,2004-10-22T00:00:00,Brisbane,Ship,Trading,Port,Fishermans Islands Berth 7,Bilge,500
199,2004-10-24T00:00:00,Mackay,Ship,Unknown,Port,Mackay Marina,Diesel,Unknown
200,2004-10-27T00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,Scarborough Harbour,Bilge,Unknown
201,2004-10-31T00:00:00,Brisbane,Ship,Trading,Port,"Brisbane River, Pikenba no 2 berth",Other,Unknown
202,2004-10-31T00:00:00,Brisbane,Unknown,Unknown,Port,"Moreton Bay, Woody Point, adj Woodcliffe Cres",Other,Unknown
203,2004-11-01T00:00:00,Townsville,Ship,Fishing,Port,South Townsville,Diesel,Unknown
204,2004-11-05T00:00:00,Brisbane,Ship,Commercial,Coastal Waters,"Public boat ramp, Kings Beach, Caloundra",Diesel,Unknown
205,2004-11-06T00:00:00,Brisbane,Unknown,Unknown,Port,"Bulimba Reach, Teneriffe, Brisbane River",Other,Unknown
206,2004-11-15T00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,Manly Boat Harbour ,Sheen,Unknown
207,2004-11-17T00:00:00,Brisbane,Unknown,Unknown,Port,Bretts Wharf to Breakfast Creek,Diesel,Unknown
208,2004-11-19T00:00:00,Gladstone,Ship,Fishing,Port,"2 cables SSE of Turtle Island, Gladstone Harbour",Diesel,Unknown
209,2004-11-20T00:00:00,Brisbane,Ship,Recreational,Coastal Waters,"Wood canal, Aquatic Paradise, Birkdale",Diesel,Unknown
210,2004-11-21T00:00:00,Mackay,Ship,Trading,Port,Hay Point Anchorage,Bilge,Unknown
211,2004-11-23T00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,"Gardens Pt moorings, Town Reach, Brisbane River ",Sheen,Unknown
212,2004-12-06T00:00:00,Brisbane,Ship,Recreational,Coastal Waters,"1 mile, Stradbroke Island",Other,Unknown
213,2004-12-09T00:00:00,Mackay,Ship,Recreational,GBRMP,Repulse Bay leading into Laguna Quays marina,Sheen,Unknown
214,2004-12-25T00:00:00,Brisbane,Unknown,Unknown,Port,"Brisbane River, Bulimba Reach- Bartons Rd, Hawthorne",Sheen,Unknown
215,2004-12-26T00:00:00,Townsville,Ship,Trading,GBRMP,Palm Passage,HFO,Unknown
216,2004-12-29T00:00:00,Cairns,Ship,Fishing,Port,Trinity Petroleum Fuel Berth,Sheen,300
217,2005-01-31T00:00:00,Brisbane,Unknown,Unknown,Coastal Waters,"Weinam Creek, Redland Bay (near old water taxi terminal)",Diesel,50
218,2005-02-01T00:00:00,Brisbane,Land,n/a,Coastal Waters,"Storm Water Drain into Brisbane River, New Farm (100m upstream Merthyr Rd)",Other,Unknown
219,2005-02-01T00:00:00,Townsville,Unknown,Unknown,Port,"Ross Creek, adjacent to Motor Boat Club, Tomlin St",Sheen,Unknown
